PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
5968;Morros de Argila, Viran;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5969;Matthes, Tim;BER, LW;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/1;0%
5970;Vori, Igor;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5971;Roscheck, Bastian;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5972;Kopljar, Marko;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5973;Edvardsson, Jonathan;HAN, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5974;Krone, Jannes;HAN, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5975;Buchner, Vincent;HAN, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5976;Chrintz, Valter;BER, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5977;Ehlers, Matteo;HAN, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5978;Langhoff, Matthes;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5979;Beneke, Max Christoph;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5980;Fischer, Justus;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5981;Reinkind, Harald;THW, RB;0/0;-;4/4;100%;2/4;50%;0/0;-;0/0;-;0/0;-
5982;Duvnjak, Domagoj;THW, CB;0/0;-;2/3;66.67%;2/5;40%;0/0;-;0/0;-;2/2;100%
5983;Weinhold, Steffen;THW, RB;0/0;-;4/5;80%;0/0;-;0/0;-;0/0;-;1/1;100%
5984;Ekberg, Niclas;THW, RW;3/4;75%;0/0;-;0/0;-;1/2;50%;0/0;-;1/1;100%
5985;Staar, Max;GWD, RW;0/0;-;0/0;-;0/1;0%;1/2;50%;0/0;-;4/4;100%
5986;Zeitz, Christian;GWD, RB;0/0;-;3/3;100%;1/2;50%;0/0;-;0/0;-;0/0;-
5987;Grebenc, Jan;GWD, LB;0/0;-;3/3;100%;0/1;0%;0/0;-;0/0;-;1/1;100%
5988;Meister, Lucas;GWD, P;0/0;-;0/1;0%;0/0;-;0/0;-;2/2;100%;2/2;100%
5989;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
5990;Dahmke, Rune;THW, LW;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-;0/0;-
5991;Darmoul, Mohamed Amine;GWD, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/1;0%;1/1;100%
5992;Janke, Maximilian;GWD, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
5993;Urban, Tomas;GWD, RW;1/2;50%;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
5994;Landin Jacobsen, Magnus;THW, LW;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5995;Korte, Mats;GWD, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;1/1;100%
5996;Vignjevic, Marko;GWD, LB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
5997;Jukic, Nikola;GWD, RB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
5998;Zarabec, Miha;THW, CB;0/0;-;1/1;100%;0/2;0%;0/1;0%;0/0;-;0/0;-
5999;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6000;Wiencek, Patrick;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6001;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6002;Thiele, Joshua;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6003;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6004;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6005;Holpert, Magnus;GWD, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6006;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6007;Bilyk, Nikola;THW, LB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
6008;Hermann, Till;FAG, LW;0/0;-;1/1;100%;0/0;-;3/5;60%;1/1;100%;2/3;66.67%
6009;Urban, Tomas;GWD, RW;3/3;100%;0/0;-;0/0;-;3/6;50%;0/0;-;1/1;100%
6010;Schiller, Marcel;FAG, LW;5/6;83.33%;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
6011;Zelenovic, Nemanja;FAG, RB;0/0;-;4/4;100%;0/1;0%;0/0;-;0/0;-;0/0;-
6012;Lindenchrone Andersen, Jon;FAG, RB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;1/1;100%
6013;Darmoul, Mohamed Amine;GWD, CB;0/0;-;3/3;100%;0/1;0%;0/0;-;0/0;-;0/0;-
6014;Ellebaek, Tobias;FAG, LB;0/0;-;0/0;-;2/4;50%;0/0;-;0/0;-;1/1;100%
6015;Kozina, Kresimir;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/1;0%
6016;Gulliksen, Kevin Maageroe;FAG, RW;0/0;-;0/0;-;0/0;-;2/5;40%;0/0;-;1/1;100%
6017;Jukic, Nikola;GWD, RB;0/0;-;2/6;33.33%;0/0;-;0/0;-;0/0;-;0/0;-
6018;Grebenc, Jan;GWD, LB;0/0;-;1/2;50%;1/3;33.33%;0/0;-;0/0;-;0/0;-
6019;Janke, Maximilian;GWD, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
6020;Heymann, Sebastian;FAG, LB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
6021;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
6022;Thiele, Joshua;GWD, P;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
6023;Smarason, Janus Dadi;FAG, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
6024;Zeitz, Christian;GWD, RB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
6025;Korte, Mats;GWD, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/1;0%
6026;Vignjevic, Marko;GWD, LB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
6027;Kneule, Tim;FAG, CB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
6028;Goller, Axel;FAG, RW;0/0;-;0/0;-;0/0;-;0/2;0%;0/0;-;1/1;100%
6029;Pieczkowski, Niclas;GWD, CB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/2;0%
6030;Bagersted, Jacob;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6031;Sarac, Josip;FAG, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6032;Holpert, Magnus;GWD, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6033;Meister, Lucas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
6034;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-
6035;Ingason, Daniel Thor;HBW, LB;0/0;-;4/5;80%;2/4;50%;0/0;-;0/0;-;0/0;-
6036;Schonningsen, Simen Nicolay;BHC, RB;0/0;-;2/2;100%;3/4;75%;0/0;-;0/0;-;0/0;-
6037;Boomhouwer, Jeffrey;BHC, LW;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-;1/1;100%
6038;Arnesson, Linus;BHC, LB;2/2;100%;1/1;100%;1/1;100%;0/0;-;0/0;-;0/0;-
6039;Darj, Max;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;1/1;100%
6040;Wiederstein, Fabian;HBW, P;0/0;-;1/1;100%;0/1;0%;0/0;-;2/2;100%;0/0;-
6041;Schmidt, David;BHC, RB;0/0;-;2/3;66.67%;1/2;50%;0/0;-;0/0;-;0/0;-
6042;Schoch, Jona;HBW, LB;0/0;-;0/1;0%;3/6;50%;0/0;-;0/0;-;0/0;-
6043;Gunnarsson, Arnor Thor;BHC, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;1/1;100%
6044;Heinzelmann, Tobias;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
6045;Wente, Till;HBW, LB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;0/0;-
6046;Babak, Tomas;BHC, CB;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-;0/0;-
6047;Huber, Elias;HBW, CB;0/0;-;1/2;50%;0/0;-;0/0;-;1/1;100%;0/0;-
6048;Fraatz, Yannick;BHC, RW;0/0;-;0/0;-;0/0;-;2/5;40%;0/0;-;0/0;-
6049;Schmitz, Tobias;BHC, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
6050;Volz, Patrick;HBW, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
6051;Stutzke, Lukas;BHC, LB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
6052;Beciri, Kristian;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-
6053;Bergner, Tom;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-
6054;Zintel, Bjorn;HBW, CB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
6055;Gutbrod, Fabian;BHC, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6056;Thomann, Gregor;HBW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6057;Weck, Alexander;BHC, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6058;Nikolaisen Svegard, Tom Kare;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6059;Fugel, Elias;HBW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6060;Nothdurft, Tim;HBW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
6061;Todorovic, Uros;HBW, RB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
6062;Lipovina, Vladan;HBW, RB;0/0;-;0/1;0%;0/3;0%;0/0;-;0/0;-;0/0;-
6063;Cederholm, Andreas;TBV, RB;0/0;-;2/2;100%;7/11;63.64%;0/0;-;0/0;-;0/0;-
6064;Jeppsson, Simon;HCE, LB;1/2;50%;2/2;100%;3/3;100%;0/0;-;1/1;100%;1/1;100%
6065;Elisson, Bjarki Mar;TBV, LW;2/2;100%;0/0;-;0/0;-;4/6;66.67%;0/0;-;2/3;66.67%
6066;Metzner, Antonio;HCE, RB;0/0;-;3/4;75%;3/5;60%;0/0;-;0/0;-;0/0;-
6067;Sellin, Johannes;HCE, RW;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%;3/3;100%
6068;Suton, Tim;TBV, CB;0/0;-;2/6;33.33%;3/3;100%;0/0;-;0/0;-;0/0;-
6069;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-
6070;Bissel, Christopher;HCE, LW;0/0;-;0/0;-;0/0;-;1/4;25%;0/0;-;3/3;100%
6071;Steinert, Christoph;HCE, RB;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6072;Olsson, Hampus;HCE, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
6073;Simak, Frederik;TBV, LB;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
6074;Overby, Petter;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
6075;Schagen, Bobby;TBV, RW;0/0;-;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-
6076;Budel, Nico;HCE, CB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
6077;Guardiola Villaplana, Gedeon;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
6078;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
6079;Zerbe, Lukas;TBV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;1/2;50%
6080;Carlsbogard, Jonathan;TBV, LB;0/0;-;1/5;20%;0/0;-;0/0;-;0/0;-;0/0;-
6081;Jaeger, Max;HCE, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6082;Kellner, Benedikt;HCE, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6083;Geis, Linus;TBV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6084;Hutecek, Lukas;TBV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6085;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6086;Blaauw, Niko;TBV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6087;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6088;Link, Nikolai;HCE, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
6089;Leban, Patrik;HCE, CB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
6090;Wanne, Hampus;SGF, LW;3/3;100%;1/1;100%;0/0;-;0/2;0%;1/1;100%;3/3;100%
6091;Mortensen, Casper Ulrich;HSV, LW;3/3;100%;0/1;0%;3/6;50%;1/1;100%;0/0;-;0/0;-
6092;Einarsson, Teitur Orn;SGF, RB;0/0;-;1/1;100%;5/6;83.33%;0/0;-;0/0;-;0/0;-
6093;Gottfridsson, Jim;SGF, CB;0/0;-;0/0;-;4/4;100%;0/0;-;0/0;-;0/0;-
6094;Andersen, Frederik Bo;HSV, RW;0/0;-;0/0;-;2/2;100%;2/2;100%;0/0;-;0/0;-
6095;Steinhauser, Marius;SGF, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/1;100%
6096;Golla, Johannes;SGF, P;0/0;-;0/0;-;0/1;0%;0/0;-;2/2;100%;1/1;100%
6097;Axmann, Dominik;HSV, LB;0/0;-;1/1;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
6098;Sogard, Goran;SGF, LB;0/0;-;2/3;66.67%;1/1;100%;0/0;-;0/0;-;0/0;-
6099;Larsen, Mads Mensah;SGF, CB;0/0;-;0/1;0%;3/4;75%;0/0;-;0/0;-;0/0;-
6100;Bauer, Philipp;HSV, CB;0/0;-;1/1;100%;2/7;28.57%;0/0;-;0/0;-;0/0;-
6101;Wullenweber, Finn;HSV, LB;0/0;-;0/0;-;3/10;30%;0/0;-;0/0;-;0/0;-
6102;Hald Jensen, Simon;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
6103;Hasenkamp, Fynn Jarik;SGF, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
6104;Theilinger, Nicolai;HSV, RB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
6105;Weller, Niklas;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
6106;Forstbauer, Jan;HSV, RB;0/0;-;0/1;0%;1/2;50%;0/0;-;0/0;-;0/0;-
6107;Svan, Lasse Hansen;SGF, RW;0/0;-;0/0;-;0/0;-;0/2;0%;1/1;100%;0/1;0%
6108;Ossenkopp, Lukas;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6109;Lindskog, Anton;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6110;Bergemann, Thies;HSV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6111;Gertges, Jonas;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6112;Jakobsen, Emil;SGF, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6113;Feit, Thore;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6114;Valiullin, Azat;HSV, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
6115;Lindberg, Hans;BER, RW;8/8;100%;1/1;100%;0/0;-;4/6;66.67%;0/0;-;0/0;-
6116;Kristjansson, Gisli Thorgeir;SCM, CB;0/0;-;4/6;66.67%;1/1;100%;0/0;-;0/0;-;0/0;-
6117;Hornke, Tim;SCM, RW;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-;1/1;100%
6118;Jensen, Magnus Saugstrup;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-
6119;Magnusson, Omar Ingi;SCM, RB;3/4;75%;0/2;0%;1/3;33.33%;0/0;-;0/0;-;0/0;-
6120;Weber, Philipp;SCM, CB;0/0;-;1/2;50%;2/3;66.67%;0/0;-;0/0;-;0/0;-
6121;Marsenic, Mijajlo;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/1;0%
6122;Pettersson, Daniel;SCM, RW;0/0;-;0/0;-;0/0;-;3/6;50%;0/0;-;0/0;-
6123;Andersson, Lasse Bredekjaer;BER, LB;0/0;-;1/1;100%;2/5;40%;0/0;-;0/0;-;0/0;-
6124;Holm, Jacob Tandrup;BER, CB;0/0;-;2/2;100%;0/1;0%;0/0;-;0/0;-;0/0;-
6125;Vujovic, Milos;BER, LW;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-;1/1;100%
6126;Mertens, Lukas;SCM, LW;0/0;-;0/1;0%;0/0;-;1/3;33.33%;1/1;100%;0/0;-
6127;Damgaard Nielsen, Michael;SCM, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
6128;Kopljar, Marko;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
6129;O'Sullivan, Christian;SCM, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
6130;Matthes, Tim;BER, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
6131;Chrapkowski, Piotr;SCM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
6132;Jacobs, Jann Keno;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
6133;Wiede, Fabian;BER, RB;0/0;-;1/1;100%;0/4;0%;0/0;-;0/0;-;0/0;-
6134;Musche, Matthias;SCM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6135;Bezjak, Marko;SCM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6136;Morros de Argila, Viran;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6137;Chrintz, Valter;BER, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6138;Langhoff, Matthes;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6139;Beneke, Max Christoph;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6140;Drux, Paul;BER, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
6141;Kirsten Evert Smits, Kay;SCM, RB;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6142;Gullerud, Magnus;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
6143;Kuhn, Julius;MTM, LB;0/0;-;1/2;50%;7/10;70%;0/0;-;0/0;-;0/0;-
6144;Ekberg, Niclas;THW, RW;3/4;75%;0/1;0%;0/0;-;2/2;100%;1/1;100%;1/1;100%
6145;Weinhold, Steffen;THW, RB;0/0;-;2/2;100%;3/3;100%;0/0;-;0/0;-;0/0;-
6146;Reichmann, Tobias;MTM, RW;3/3;100%;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
6147;Zarabec, Miha;THW, CB;0/0;-;1/1;100%;2/2;100%;0/0;-;0/0;-;0/0;-
6148;Pavlovic, Domagoj;MTM, CB;0/0;-;0/0;-;3/4;75%;0/0;-;0/0;-;0/0;-
6149;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;2/4;50%;1/1;100%;0/0;-
6150;Reinkind, Harald;THW, RB;0/0;-;2/2;100%;1/5;20%;0/0;-;0/0;-;0/0;-
6151;Duvnjak, Domagoj;THW, CB;0/0;-;1/1;100%;1/6;16.67%;0/0;-;0/0;-;1/1;100%
6152;Petersson, Alexander;MTM, RB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;0/0;-
6153;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
6154;Landin Jacobsen, Magnus;THW, LW;1/2;50%;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
6155;Hafner, Kai;MTM, RB;0/0;-;2/3;66.67%;0/2;0%;0/0;-;0/0;-;0/0;-
6156;Dahmke, Rune;THW, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
6157;Arnarsson, Arnar Freyr;MTM, P;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
6158;Fuchs, Julian;MTM, RW;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6159;Kalarash, Gleb;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
6160;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
6161;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6162;Kunkel, Yves;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6163;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6164;Sagosen, Sander;THW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6165;Kuntscher, David;MTM, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6166;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6167;Horr, Manuel;MTM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6168;Drosten, Florian;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6169;Wiencek, Patrick;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
6170;Bilyk, Nikola;THW, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
6171;Buchner, Vincent;HAN, LW;0/0;-;2/2;100%;0/0;-;3/4;75%;0/0;-;4/4;100%
6172;Cavor, Stefan;WET, RB;0/0;-;3/3;100%;4/5;80%;0/0;-;0/0;-;0/0;-
6173;Mellegard, Emil;WET, LW;0/0;-;0/0;-;1/1;100%;1/1;100%;1/1;100%;2/2;100%
6174;Holst, Maximilian;WET, LW;4/4;100%;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
6175;Nyfjall, Adam;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
6176;Mavers, Veit;HAN, CB;1/1;100%;2/4;50%;0/0;-;0/0;-;0/1;0%;0/0;-
6177;Hansen, Johan a Plogv;HAN, RW;0/2;0%;1/1;100%;0/0;-;1/3;33.33%;0/0;-;1/1;100%
6178;Danner, Felix;WET, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%;0/0;-
6179;Pevnov, Evgeni;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
6180;Forsell Schefvert, Olle;WET, LB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;0/1;0%
6181;Edvardsson, Jonathan;HAN, CB;0/0;-;2/2;100%;0/0;-;0/1;0%;0/0;-;0/0;-
6182;Bohm, Fabian;HAN, LB;0/0;-;2/4;50%;0/0;-;0/0;-;0/0;-;0/0;-
6183;Novak, Domen;WET, RW;0/0;-;0/1;0%;0/0;-;2/3;66.67%;0/0;-;0/0;-
6184;Weissgerber, Lars;WET, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
6185;Mirkulovski, Filip;WET, CB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
6186;Kuzmanovski, Filip;HAN, LB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
6187;Rubin, Lenny;WET, LB;0/0;-;0/2;0%;1/1;100%;0/1;0%;0/0;-;0/0;-
6188;Feise, Hannes;HAN, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6189;Srsen, Ivan;WET, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6190;Fischer, Justus;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6191;Klimpke, Ole;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
6192;Roscheck, Bastian;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
6193;Brozovic, Ilija;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
6194;Krone, Jannes;HAN, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
6195;Cehte, Nejc;HAN, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
6196;Boczkowski, Leon;WET, CB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
6197;Martinovic, Ivan;HAN, RB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/1;0%
6198;Fredriksen, Magnus;WET, CB;0/0;-;0/3;0%;0/1;0%;0/0;-;0/0;-;0/1;0%
6199;Kristjansson, Viggo;TVB, RB;6/7;85.71%;1/2;50%;1/4;25%;0/0;-;0/0;-;0/0;-
6200;Binder, Lukas;LEI, LW;0/0;-;2/2;100%;0/0;-;2/2;100%;1/1;100%;1/1;100%
6201;Sunnefeldt, Oskar;LEI, LB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
6202;Muller, Jerome;TVB, RB;0/0;-;3/3;100%;2/5;40%;0/0;-;0/0;-;0/0;-
6203;Gebala, Maciej;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-
6204;Weiss, Dominik;TVB, LB;0/0;-;0/1;0%;4/5;80%;0/0;-;0/0;-;0/0;-
6205;Hanusz, Egon;TVB, CB;0/0;-;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-
